T_out,T_in_init,T_set,tau,COP,t_critical,E_at_critical,iterations,converged
34,32,26,6,3.0,3.4347,6.4,13,True
34,32,26,6,3.3,3.4347,5.8182,13,True
34,32,26,6,3.6,3.4347,5.3333,13,True
34,32,26,6,4.0,3.4347,4.8,13,True
34,32,26,9,2.6,5.156,7.3846,13,True
34,32,26,9,3.0,5.156,6.4,13,True
34,32,26,9,3.3,5.156,5.8182,13,True
34,32,26,9,3.6,5.156,5.3333,13,True
34,32,26,9,4.0,5.156,4.8,13,True
34,32,26,12,2.6,6.8715,7.3846,13,True
34,32,26,12,3.0,6.8715,6.4,13,True
34,32,26,12,3.3,6.8715,5.8182,13,True
34,32,26,12,3.6,6.8715,5.3333,13,True
34,32,26,12,4.0,6.8715,4.8,13,True
36,34,22,2,2.6,1.2291,12.9231,13,True
36,34,22,2,3.0,1.2291,11.2,13,True
36,34,22,2,3.3,1.2291,10.1818,13,True
36,34,22,2,3.6,1.2291,9.3333,13,True
36,34,22,2,4.0,1.2291,8.4,13,True
36,34,22,4,2.6,2.4602,12.9231,13,True
36,34,22,4,3.0,2.4602,11.2,13,True
36,34,22,4,3.3,2.4602,10.1818,13,True
36,34,22,4,3.6,2.4602,9.3333,13,True
36,34,22,4,4.0,2.4602,8.4,13,True
36,34,22,6,2.6,3.6914,12.9231,13,True
36,34,22,6,3.0,3.6914,11.2,13,True
36,34,22,6,3.3,3.6914,10.1818,13,True
36,34,22,6,3.6,3.6914,9.3333,13,True
36,34,22,6,4.0,3.6914,8.4,13,True
36,34,22,9,2.6,5.5353,12.9231,13,True
36,34,22,9,3.0,5.5353,11.2,13,True
36,34,22,9,3.3,5.5353,10.1818,13,True
36,34,22,9,3.6,5.5353,9.3333,13,True
36,34,22,9,4.0,5.5353,8.4,13,True
36,34,22,12,2.6,7.3849,12.9231,13,True
36,34,22,12,3.0,7.3849,11.2,13,True
36,34,22,12,3.3,7.3849,10.1818,13,True
36,34,22,12,3.6,7.3849,9.3333,13,True
36,34,22,12,4.0,7.3849,8.4,13,True
